                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2288,                 9.7138,                 2.2168,                      0,                      0,                      0,                      0,                 2.6357,                 7.1251,                 1.5469,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.6702,                  8.028,                 1.7501,                      0,                      0,                      0,                      0,                 2.8285,                 6.2726,                 1.2728,             0.00016944,             0.00016944,             0.00016944
                      3,                 3.3881,                 6.1226,                 1.3629,                      0,                      0,                      0,                      0,                 2.5539,                 5.6661,                 1.1757,             0.00025828,             0.00025828,             0.00025828
                      4,                 3.0513,                 5.3791,                 1.2446,                      0,                      0,                      0,                      0,                 2.4712,                 4.9352,                 1.1481,             0.00034654,             0.00034654,             0.00034654
                      5,                 2.7765,                 4.6005,                 1.1506,                0.00016,                0.00957,                0.00425,                0.00309,                 2.7896,                 4.6661,                 1.1712,             0.00043419,             0.00043419,             0.00043419
                      6,                 2.6357,                 4.0451,                 1.1069,                0.00749,                0.42377,                0.13302,                 0.0517,                 2.4293,                 4.1112,                 1.1257,             0.00052125,             0.00052125,             0.00052125
                      7,                 2.4675,                 3.5597,                 1.0623,                  0.007,                0.36378,                0.17455,                0.08023,                 2.1939,                 3.8688,                 1.0576,             0.00060772,             0.00060772,             0.00060772
                      8,                 2.3666,                 3.1892,                 1.0305,                0.00657,                0.33903,                0.16044,                0.06481,                  2.567,                 3.8067,                 1.1901,              0.0006936,              0.0006936,              0.0006936
                      9,                 2.2748,                 2.8933,                  1.024,                0.51899,                0.03333,                0.16248,                0.05111,                 2.7973,                 3.6559,                 1.2686,             0.00077888,             0.00077888,             0.00077888
                     10,                 2.2242,                 2.6373,                 1.0095,                0.71542,                0.12852,                0.34798,                0.14117,                 2.1973,                  2.983,                 1.0553,             0.00086357,             0.00086357,             0.00086357
                     11,                 2.2819,                 2.5805,                 1.0117,                0.76058,                0.18274,                0.33554,                0.13266,                 2.2655,                  2.803,                  1.083,             0.00094766,             0.00094766,             0.00094766
                     12,                 2.1656,                 2.4013,                 1.0084,                0.61065,                0.28202,                0.42793,                0.19236,                 2.0851,                 2.4413,                 1.0508,              0.0009637,              0.0009637,              0.0009637
                     13,                 2.1471,                 2.2339,                0.98471,                0.58695,                 0.4526,                0.48761,                0.21392,                 1.9831,                 2.0448,                 1.0056,              0.0009637,              0.0009637,              0.0009637
                     14,                  2.113,                 2.1293,                0.99286,                0.70459,                0.40947,                0.50364,                0.19932,                 2.2565,                 2.0446,                 1.0891,              0.0009604,              0.0009604,              0.0009604
                     15,                 2.0145,                 1.8911,                0.97953,                0.64218,                0.51745,                0.53817,                0.23327,                  2.101,                 1.9428,                 1.0472,              0.0009571,              0.0009571,              0.0009571
                     16,                 2.1153,                 1.9102,                  1.008,                0.66855,                0.53058,                0.56603,                0.25645,                 1.9766,                 1.7278,                 1.0337,              0.0009538,              0.0009538,              0.0009538
                     17,                 2.1006,                 1.8724,                0.98102,                0.72331,                0.51319,                0.60305,                0.24945,                 2.0487,                 1.6784,                  1.036,              0.0009505,              0.0009505,              0.0009505
                     18,                 1.9916,                 1.6994,                0.96506,                0.78073,                0.57373,                0.65283,                0.27223,                  2.017,                 1.6973,                 1.0214,              0.0009472,              0.0009472,              0.0009472
                     19,                 1.9988,                 1.6583,                0.97509,                 0.7661,                 0.5318,                0.61641,                0.27686,                 1.9136,                 1.5943,                 1.0034,              0.0009439,              0.0009439,              0.0009439
                     20,                 1.9896,                 1.5917,                0.97277,                0.73225,                0.55148,                0.60864,                0.25452,                 2.0693,                  1.452,                 1.0271,              0.0009406,              0.0009406,              0.0009406
                     21,                 1.9398,                 1.5173,                0.96617,                0.80332,                 0.5912,                0.68745,                 0.3208,                 1.8104,                 1.4124,                0.96968,              0.0009373,              0.0009373,              0.0009373
                     22,                 1.9303,                 1.4996,                0.95653,                0.70593,                 0.6236,                0.68246,                0.31166,                 1.8756,                 1.3598,                0.98145,               0.000934,               0.000934,               0.000934
                     23,                 1.9168,                 1.4434,                0.95926,                0.72573,                0.62823,                0.66404,                0.31442,                  1.814,                 1.3927,                0.97397,              0.0009307,              0.0009307,              0.0009307
                     24,                 1.9116,                 1.4087,                0.95351,                0.71527,                0.62588,                0.67549,                0.27438,                 2.0079,                 1.3278,                0.99255,              0.0009274,              0.0009274,              0.0009274
                     25,                 1.8856,                 1.3586,                0.93009,                0.73374,                0.62156,                0.69265,                0.32016,                  1.835,                 1.2669,                 0.9699,              0.0009241,              0.0009241,              0.0009241
                     26,                 1.8996,                 1.3621,                0.94685,                0.80822,                 0.6614,                0.73306,                0.33596,                 1.8244,                  1.224,                0.98754,              0.0009208,              0.0009208,              0.0009208
                     27,                 1.8923,                  1.349,                0.95213,                0.70381,                0.72438,                0.72719,                0.35493,                 1.7668,                 1.1778,                0.96602,              0.0009175,              0.0009175,              0.0009175
                     28,                 1.8473,                 1.2927,                0.94012,                0.91648,                0.64603,                0.75881,                   0.34,                 1.8251,                 1.0801,                0.99389,              0.0009142,              0.0009142,              0.0009142
                     29,                 1.8458,                 1.2727,                0.95048,                0.84099,                0.69406,                0.77877,                0.37453,                  1.756,                 1.1497,                0.95909,              0.0009109,              0.0009109,              0.0009109
